name,title,quote,date,context
Ḫattušili I,Hittite king,"Wash me well, hold me to your breast, protect me from the earth (lying against) your breast.",17th century BC,probably addressing his wife or favorite concubine and expressing his fear of death while being gravely ill
"(""שְׁלֹף חַרְבְּךָ וּמוֹתְתֵנִי--פֶּן-יֹאמְרוּ לִי","אִשָּׁה הֲרָגָתְהוּ"") — Abimelech, king of Shechem","Draw thy sword, and slay me, that men say not of me, A woman slew him.",12th century BC,"Mortally wounded in battle by a stone thrown by a woman, he asked his armor-bearer to kill him"
"(""תָּמוֹת נַפְשִׁי עִם-פְּלִשְׁתִּים"") — Samson",judge of the Israelites,Let me die with the Philistines.,c. 1078 BC,prior to bringing down pillars of the Philistine temple and killing 3000 people along with himself
"(""שְׁלֹף חַרְבְּךָ וְדָקְרֵנִי בָהּ","פֶּן-יָבוֹאוּ הָעֲרֵלִים הָאֵלֶּה וּדְקָרֻנִי וְהִתְעַלְּלוּ-בִי"") — Saul, king of Israel","Draw thy sword, and thrust me through therewith; lest these uncircumcised come and thrust me through, and abuse me.",c. 1012 BC,to his servant during the Battle of Mount Gilboa
Anacharsis,Scythian philosopher,"My reputation carried me safe through Greece, but the envy it excited at home has been my ruin.",6th century BC,"mortally wounded with an arrow by his brother, King Caduidas"
Chilon of Sparta,philosopher,"On a certain occasion, I chanced to be one of three who sat in judgment on one of my own good friends, who, according to the laws, should have been punished with death. I was greatly embarrassed. One of two things was inevitable—either to violate the law or condemn my friend. After careful consideration, I devised this expedient. I delivered with such address all the most plausible arguments in behalf of the accused, that my two colleagues found no difficulty in acquitting him, and yet I, myself, condemned him to death without assigning any reason for my conduct. Thus I discharged two duties, those of friend and judge; yet I feel in my conscience something which makes me doubt whether my conduct was not criminal.",6th century BC,speaking to his friends before his death
Pythagoras,"Ionian Greek philosopher and founder of Pythagoreanism (495 BC), refusing to escape with his students from the Crotonians through a fava bean field",It is better to perish here than to kill all these poor beans.,,
"(""वयधम्मा सङखार्आ अप्पमादेन सम्पादेथा"") — Siddhārtha Gautama Buddha",Shakya sage who founded Buddhism,All compounded things are subject to vanish. Strive with earnestness.,c. 483 BC,
Confucius,Chinese philosopher who founded Confucianism (479 BC),"Heaven has turned against me. No wise ruler arises, and no one in the Empire wishes to make me his teacher. The hour of my death has come.",,
Heraclitus,Greek philosopher,Can you turn rainy weather into dry?,c. 475 BC,asking his physicians for relief from dropsy
Pericles,"Greek statesman (429 BC), discussing with his friends what his greatest accomplishment had been","For, no Athenian, through my means, ever wore mourning.",,
Anaxagoras,Greek philosopher,Give the boys a holiday.,c. 428 BC,in response to citizens of Lampsacus asking how they could honor his memory
Theramenes,"Athenian statesman (404 BC), after swallowing poison hemlock which he had been condemned to drink by Critias",This to the fair Critias.,,
"(""Κρίτων","ἔφη, τῷ Ἀσκληπιῷ ὀφείλομεν ἀλεκτρυόνα· ἀλλὰ ἀπόδοτε καὶ μὴ ἀμελήσητε"") — Socrates, Greek philosopher (399 BC), just before his death by ingestion of poison hemlock which he was forced to drink as a death sentence","Crito, we owe a cock to Asclepius. Please, don't forget to pay the debt.",,
Anaxibius,"Spartan admiral (388 BC), before being killed in Athenian ambush","Men, it is good for me to die on this spot, where honor bids me; but for you, yonder your path lies. Hurry and save yourselves before the enemy can close with us.",,
