quote,is_criminal
farewell mother,1.0
february,1.0
ella ella everything is utterly different,0.0
january,1.0
thy will be done,0.0
im ready to go for this thing we can win this thing,0.0
i have been a most unconscionable time dying but i beg you to excuse it,0.0
pull now pull thats it,0.0
june,0.0
there is another and a better world,0.0
lets have a really good red wine tonight,0.0
emerg,0.0
dont worry relax,0.0
villaine,0.0
,1.0
capital punishment them without the capital get the punishment,1.0
jesu maria,0.0
may,1.0
remember its the first years that count and ive got to go i love you,0.0
i love you,0.0
peace be upon you,0.0
,1.0
november,1.0
november,1.0
must i leave it unfinished,0.0
show my head to the people it is worth seeing,1.0
march,1.0
i am coming katie,1.0
save yourselves ill carry on,0.0
thats enough for today mr heise,0.0
o lord into thy hands i commend my spirit,1.0
you urge me in vain i am not the man to provide christian flesh for pagan teeth to devour and it would be so acting if i delivered unto you that which the poor have laid by for their subsistence,0.0
,0.0
,1.0
october,0.0
february,0.0
february,0.0
im doing all right im doing all right uh,0.0
,1.0
august,1.0
never heed the lords power is over all weakness and death,0.0
mom dont be afraid since jesus became a man death has become the passage towards life and we dont need to flee it let us prepare ourselves to experience something extraordinary in the eternal life,0.0
august,0.0
what an idle piece of ceremony this buttoning and unbuttoning is to me now,0.0
thank you love,0.0
i was born as a lily in the garden and like the lily i grew as my age advanced i became old and had to die and so i withered and died,0.0
ill let my lawyers talk for me im ready to go,1.0
i am not afraid to die,0.0
september,1.0
are you there pam pam are you there,0.0
,1.0
,1.0
leave me alone im fine,0.0
,1.0
january,1.0
april,0.0
april,1.0
we are as neare to heaven by sea as by land,0.0
mama,0.0
heil hitler this is my purim fest in i am going to god the bolsheviks will hang you one day,1.0
,1.0
october,0.0
may,0.0
roger that sir thank you,0.0
i done told you my last request a bulletproof vest,1.0
march,0.0
no but comfortable enough to die,0.0
i know i hurt people when i was young i really messed up but i know ron desantis has done a lot worse hes taken a lot from a lot of people i speak for all men women and children hes put his foot on our necks ron desantis and other people like him can suck our dicks,1.0
july,0.0
november,0.0
tell georgie i want to get in the movies one way or another,0.0
how did the mets do today,0.0
,1.0
may,0.0
mark ive seen god four times and im going to see him again soon thats no to me and youre no,0.0
im dizzy,0.0
,1.0
june,1.0
i would say somewhat but i cannot utter it,0.0
july,1.0
november,1.0
december os november,0.0
april,0.0
i have laid my papers on a bed for my daughters i have left the door open for the police to enter i am going to shoot myself,0.0
september,0.0
now ill show you how an italian dies,0.0
march,1.0
august,1.0
august,0.0
im safe im with the firemen,0.0
,1.0
december,1.0
to harald may god forgive you and forgive me too but i prefer to take my life away and our babys before i bring him with shame or killing him lupe,0.0
did you envy my happiness,1.0
july,0.0
october,0.0
do not announce my death,0.0
dying is easy comedy is difficult,0.0
december,0.0
march,1.0
december,0.0
october,1.0
its a long time since i drank champagne,0.0
i do forgive you,1.0
march,1.0
october,0.0
still hanging around,1.0
channel is all shit isnt it christ the crap they put on there its a waste of space,0.0
it is time for matins,0.0
april,0.0
,1.0
farewell comrades fight do not be afraid stalin is with us stalin will come,1.0
february,1.0
when a man has a great name he must expect to die for it,0.0
october,0.0
august,1.0
may,1.0
november,1.0
i guess no ones going to call,1.0
july,1.0
april,0.0
final ils two four,0.0
february,0.0
october,0.0
were sic a midair collision midair collision how we are going inuncontrollable uncontrollable we areweve had it boy poor jet too told you we should take chutes say goodbye to everybody,0.0
march,1.0
take a step or two closer lads it will be easier that way,1.0
march,1.0
march,1.0
counting or not counting gang violence,0.0
october,1.0
dont pull down the blinds i want the sunlight to greet me,0.0
death cannot destroy us for it is destroyed already by him for whose sake we suffer,1.0
november,1.0
oh god the friend most high or the prayer the prayer and fear allah with regard to those whom your right hands possess,0.0
i did sir but you do now,0.0
thy will be done,0.0
june,0.0
there are crooks everywhere now the situation is desperate,0.0
may,1.0
march,1.0
november,1.0
,1.0
july,0.0
,1.0
i want to offer again my most profound and heartfelt apologies to my victims families i am truly sorry i have tried my best to empathize with their grief and devastation and i hope they come to know of my concerns and prayers for them,1.0
,1.0
o lord save my country o lord be merciful to,0.0
october,0.0
,1.0
o holy simplicity,1.0
its all been rather lovely,0.0
how beautiful,0.0
april,1.0
april,0.0
february,0.0
more weight,1.0
send mike immediately,0.0
precious salvation,0.0
may,1.0
i should have had the pickle,0.0
june,0.0
april,0.0
,1.0
oh its taking rather a long time,0.0
the imperator is doing well,0.0
i must end it theres no hope left ill be at peace no one had anything to do with this my decision totally,0.0
october,0.0
somebody needs to kill my trial attorney,1.0
september,1.0
it matters not how strait the gate how charged with punishments the scroll i am the master of my fate i am the captain of my soul,1.0
now o lord set thy servant free,0.0
,1.0
why fear death death is only a beautiful adventure,0.0
farewell my friends i go to glory,0.0
,1.0
it wasnt supposed to end like this,1.0
they are outside this is the end commander thank you tell my family and my country i love them tell them i was brave and fought until i could no longer please take care of my family avenge my death goodbye commander tell my family i love them,0.0
i am through take charge of the company i wont be here long,0.0
november,1.0
no bloody doctors,0.0
february,1.0
february,0.0
this ended up being a fun life i am now going to a more free world goodbye,0.0
march,1.0
,1.0
,1.0
i have now reigned above fifty years in victory or peace beloved by my subjects dreaded by my enemies and respected by my allies riches and honors power and pleasure have waited on my call nor does any earthly blessing appear to have been wanting to my felicity in this situation i have diligently numbered the days of pure and genuine happiness which have fallen to my lot they amount to fourteeno man place not thy confidence in this present world,0.0
may,0.0
let the flames come near me i cannot burn i cannot burn,1.0
january,0.0
cmon you guys lets get these guns off the beach,0.0
maria,0.0
,1.0
january,1.0
give me my glasses,0.0
november,0.0
absit mihi gloriari nisi in cruce domini nostri jesu christi far from me to glory except in the cross of jesus christ good people i beseech god to send all felicity,1.0
,1.0
march,1.0
my fellow citizens do cigarettes taste good they are poisonous i used to smoke two packs a day ha i really regret it now if only i had quit a year ago my fellow citizens cigarettes destroy families and health my fellow citizens you must quit smoking,0.0
how sweet it is to rest,0.0
when the day comes that i hear of koreas independence in heaven i will dance and shout hurrah,1.0
december,0.0
august,1.0
may,0.0
i dont hold any grudges this is my doing sorry it happened,1.0
thank you,0.0
oh dear,0.0
weep not friend for me who dies innocent by the lawless act of wicked men my condition is much better than theirs,1.0
all stop,0.0
take that tent thing off me and give me something to drink quit shooting that stuff into my arm and leave me alone im going to get well,0.0
these are my last words and i am certain that my sacrifice will not be in vain i am certain that at the very least it will be a moral lesson that will punish felony cowardice and treason,0.0
october,1.0
when i meet god i am going to ask him two questions why relativity and why turbulence i really believe he will have an answer for the first,0.0
february,1.0
,1.0
march,1.0
money cant buy life,0.0
june,0.0
july,1.0
vancouver vancouver this is it,0.0
bertie,0.0
victory victory,1.0
,1.0
god protect germany may i say something else my last wish is that germany realize its entity and that an understanding be reached between the east and the west i wish peace to the world,1.0
september,1.0
january,1.0
on on on,0.0
august,1.0
,1.0
help,0.0
goodbye gentlemen i am going now,1.0
brothers brothers please this is a house of peace,0.0
now it is come,0.0
im bad im nineteen,0.0
i love you mom,0.0
naciera yo hijo de un labrador e fuera fraile del abrojo que no rey de castilla,0.0
i will enter thy house i will worship in thy sanctuary,0.0
im really really sorry the pain of life overrides the joy to the point that joy does not exist depressed without phone money for rent money for child support money for debts money i am haunted by the vivid memories of killings corpses anger pain of starving or wounded children of triggerhappy madmen often police of killer executioners i have gone to join ken if i am that lucky,0.0
july,0.0
well jan we were lucky at that,0.0
january,1.0
o lord god almighty father of thy wellbeloved son jesus christ by whom we have received knowledge of thee god of angels powers and every creature that lives before thee i thank thee that thou hast graciously thought me worthy of this day and hour that i may receive a portion in the number of thy martyrs and drink of christs cup for the resurrection of both soul and body unto life eternal in the incorruptibleness of the holy spirit among them may i be admitted this day as an acceptable sacrifice as thou o true and faithful god hast prepared foreshown and accomplished wherefore i praise thee for all thy mercies i bless thee i glorify thee with jesus christ thy beloved son the eternal to whom with thee and the holy spirit be glory now and forever,0.0
im going to the bathroom to read,0.0
august,1.0
,1.0
september,0.0
february,1.0
january,0.0
my stomach hurts my neck hurts everything hurts man i cant breathe,0.0
the piglets would grunt if they knew how the old boar is suffering,0.0
july,0.0
higher always higher,0.0
mom im dying i love you,0.0
august,1.0
august,1.0
december,0.0
i die hard but i am not afraid to go i am just going have me decently buried and do not let my body be put into the vault in less than two days after i am dead do you understand me tis well,0.0
now im in the biggest fight of my life and it aint easy but i want to say much love to those who have been down with me and thanks for all your support just remember its your real time and your real life,0.0
no not quite naked i shall have my uniform on,0.0
and now i am officially dead,0.0
,1.0
are you guys ready lets roll,0.0
good night malaysian three seven zero,0.0
as you see i am crying too not tears of pain but tears of joy because ill be with my god in a short time,0.0
i am in debt to so many people i have caused too great a burden to be placed upon them i cant begin to fathom the countless agonies down the road the rest of my life would only be a burden for others i am unable to do anything because of poor health i cant read i cant write do not be too sad isnt life and death all a part of nature do not be sorry do not feel resentment toward anyone it is fate cremate me and leave only a small tombstone near home ive thought on this for a long time,0.0
you go ill cover you,0.0
july,1.0
no ill never make it im going back and get that bastard,0.0
follow the path for another fifty yards i am going back to the foot of the rocks to make another climb if i feel in good form i shall take the difficult way up if i do not i shall take the easy one i shall join you in an hour,0.0
june,1.0
our trade falls heavily upon these feeble folk,0.0
no signing no in sign language,0.0
march,0.0
ive finished a whoopee,0.0
june,1.0
july,1.0
splendid the finale just a little too fast,0.0
you be good i love you see you tomorrow,0.0
i did what i could,0.0
january,1.0
may,1.0
the issue is now clear it is between light and darkness and everyone must choose his side,0.0
april,0.0
march os february,0.0
i sure hope salvador is doing alright,0.0
the object is directly ahead of and above me now moving at about half my speed it appears to be a metallic object or possibly reflection of sun from a metallic object and it is of tremendous size im still climbing im trying to close in for a better look,0.0
september,0.0
let me go let me go,0.0
,1.0
im all shot to hell,1.0
,1.0
absolutely not,0.0
arthur dont look at me nurse stand between my brother and me jesus mary and joseph i give you my heart and my soul,0.0
april,1.0
october,0.0
where is your warrant not on the dead pig i need a sheriff no warrant,0.0
lo here is a token that i forgive thee my heart do thine office,1.0
now as soon as you please you may commence the part of creon in the tragedy and cast out this body of mine unburied but o gracious neptune i for my part while i am yet alive arise up and depart out of this sacred place though antipater and the macedonians have not left so much as thy temple unpolluted,1.0
,1.0
december,1.0
,1.0
sorry for saying fuck,0.0
june,1.0
july,0.0
i die well save the fatherland,0.0
debt,0.0
december,0.0
september,0.0
may,1.0
july,1.0
it would be hard indeed if we two dear friends should part after so many years without one sweet kiss,0.0
,1.0
my god whats happened,0.0
,1.0
blessed are the poor in spirit,0.0
november,0.0
dear friends im sorry to no longer be with you after years together but nature also has its own rhythms they were very stimulating years for me that led me to learn about the world and human nature above all i was lucky enough to meet people who helped me realize what every man would like to discover thanks to science and a method that allows us to address problems in a rational but at the same time humane way despite a long illness i managed to complete all my programs and projects even a small satisfaction a jazz album on the piano but also sixteen episodes dedicated to schools on environmental and energy problems it was an extraordinary adventure experienced intensely and made possible thanks to the collaboration of a large group of authors collaborators technicians and scientists in turn i tried to tell what i learned dear all i think i have done my part try to do yours too for this difficult country of ours a big hug,0.0
november,0.0
carry on boys we have won,0.0
march,1.0
i miss her so much i want to be with carrie,0.0
i dont feel good,0.0
on a certain occasion i chanced to be one of three who sat in judgment on one of my own good friends who according to the laws should have been punished with death i was greatly embarrassed one of two things was inevitableeither to violate the law or condemn my friend after careful consideration i devised this expedient i delivered with such address all the most plausible arguments in behalf of the accused that my two colleagues found no difficulty in acquitting him and yet i myself condemned him to death without assigning any reason for my conduct thus i discharged two duties those of friend and judge yet i feel in my conscience something which makes me doubt whether my conduct was not criminal,0.0
may,1.0
january,1.0
january,1.0
july,0.0
through too much fondness of life i have lived to endure the sight of my friend taken by the enemy before my face,0.0
january,0.0
weve got a bad fire lets get out were burning up,0.0
june,1.0
what i then said i unsay now and what i now say is the truth,1.0
god who pleased me here will do what he pleases with me hereafter and he knows best what to do may he bless you,0.0
i have perfect faith,0.0
pitch up,0.0
like peter i have erred unlike peter i have not wept,0.0
may,1.0
lord into thy hands i commend my spirit for thou hast redeemed me lord god of truth,1.0
did they get off,0.0
god be merciful to me a sinner lord jesus receive my spirit miserere mei deus secundum magnam misericordiam tuam,1.0
dont die like i did,0.0
i have often read and thought of that scripture but never till this moment did i feel its full power and now i die happy,0.0
the ladies have to go first get into the lifeboat to please me goodbye dearie ill see you later,0.0
suffer no pomp at my funeral nor monumental inscription where i am laid lay me quietly in the earth and put a sundial over my grave and let me be forgotten,0.0
shakespeare i come,0.0
january,0.0
,1.0
july,0.0
everythings gone wrong my girl,0.0
by gad im not licked yet,0.0
march,0.0
dont worry its all right,0.0
the hearse the horse the driver andenough,0.0
,1.0
,1.0
the only objection against the bible is a bad life,0.0
,1.0
nothing else but heaven,0.0
i dont know what i may seem to the world but as to myself i seem to have been only like a boy playing on the seashore and diverting myself now and then in finding a smoother pebble or a prettier shell than the ordinary whilst the great ocean of truth lay all undiscovered before me,0.0
march,0.0
november,1.0
my body is on fire no one should go through this they poked me five times it feels like acid,1.0
i confide to your care my beloved children the most precious jewels i can leave you the great monarch beyond the ocean will interest himself to see that they come into their inheritance if you present before him their just claims i know your master will do this if for no other reason then for the kindness i have shown the spaniards though it has occasioned my ruin for all my misfortunes malinche i bear you no ill will,0.0
id like to thank the academy for my lifetime achievement award that i will eventually get,0.0
wherever i look i see nothing but the divinityi have committed numerous crimes and i know not with what punishments i may be seizedthe agonies of death come upon me fasti am going whatever good or evil i have done it was for you no one has seen the departure of his own soul but i know that mine is departing,0.0
take me for i come to thee,0.0
november,1.0
its gone mother gone gone gone,0.0
let not my end disarm you and on no account weep or keen for me lest the enemy be warned of my death,0.0
may,0.0
libert,1.0
fire go on and fire,1.0
july,0.0
remember to look up at the stars and not down at your feet,0.0
ive been looking forward to this,0.0
january,0.0
young man you have heard no doubt how great are the terrors of death this night will probably afford you some experience but you may learn and may you profit by the example that a conscientious endeavor to perform his duty through life will ever close a christians eyes with comfort and tranquility,0.0
december,1.0
i think im going to make it,0.0
june,1.0
march,1.0
my last words to you my son and successor are never trust the russians,0.0
,1.0
im going to stop now but im going to sharpen the ax before i put it up dear,0.0
merciful father of heaven for jesus christ my saviors sake receive my soul into thy hand,1.0
june,1.0
october,1.0
may,1.0
oh god here i go,0.0
december,0.0
to die this way is stupid and it would please so many scoundrels this very night magalhes i could have died for the republic,0.0
all is lost monks monks monks,0.0
,1.0
five zula sic alpha just had a midair both planes are going down in the ah one mile to the ah two miles to the west of the power plant,0.0
what dost thou fear strike man strike,1.0
april,1.0
even if you escape the torment of history you will not be able to escape the wrath of allah,0.0
id hate to die twice its so boring,0.0
my christ,0.0
november,1.0
take me to the boats,0.0
,1.0
november,1.0
i have been murdered no remedy can prevent my speedy death,0.0
keep going finish your book,0.0
i just want you to know from the bottom of my heart that i am truly sorry i mean it im not saying it,1.0
no im not,0.0
this is not my home,0.0
stay for the sign,1.0
look after agnes,0.0
,1.0
,1.0
i wish i had the power of writing for then i would describe to you how pleasant a thing it is to die,0.0
april,0.0
deutschland ber alles,1.0
love the immaculate love the immaculate love the immaculate,0.0
may,1.0
i am sanada nobushige no doubt an adversary quite worthy of you but i am exhausted and can fight no longer go on take my head as your trophy,0.0
too late,0.0
my name is david sharp im with asian trekking and i just want to sleep,0.0
death,0.0
kurt,0.0
a quick haircut,0.0
why why not,0.0
lord have mercy upon me wilt thou break a bruised reed,1.0
,1.0
get down,0.0
my address is green meadow lane fayetteville georgia,0.0
april,0.0
,1.0
we fought true,0.0
god bless god damn,0.0
go to the rising sun for i am setting think more of death than of me,0.0
can you get a shot of this gun,0.0
april,0.0
i ennio morricone am dead so i announce it to all the friends who have always been close to me and also to those who are a little far away and i greet them with great affection impossible to name them all but a special memory is for peppuccio and roberta fraternal friends very present in the last years of our life there is only one reason that drives me to greet everyone like this and to have a funeral in private i dont want to disturb i warmly greet ines laura sara enzo and norbert for having shared a large part of my life with me and my family i want to remember my sisters adriana maria franca and their loved ones with love and let them know how much i loved them a full intense and profound greeting to my children marco alessandra andrea giovanni my daughterinlaw monica and to my grandchildren francesca valentina francesco and luca i hope they understand how much i loved them last but not least maria i renew to you the extraordinary love that has held us together and that i am sorry to abandon the most painful farewell to you,0.0
tell the girls to keep on going ahead put over the boule with a bang dont let my passing throw the slightest shadow of gloom the organization has a grand mission before it,0.0
january,0.0
june,1.0
,1.0
im going down,0.0
july,0.0
that guys gotta stop hell see us,0.0
may,0.0
may,1.0
i did not get my spaghettios i got spaghetti i want the press to know this,1.0
o death why art thou so long in coming,1.0
farewell thou who art so beautiful and so cruel who killest me and whom i cannot cease to love,1.0
equanimity,0.0
thank the lord for the past years that have allowed me to grow as a man to jds family i am sorry for the suffering you have gone through the past years i hope you can get some peace tonight to my family i am happy to be going home to jesus sweet jesus here i come take me home i am going your way,1.0
february,0.0
i could wish this tragic scene were over but i hope to go through it with becoming dignity,0.0
what do you think im gonna do blow my brains out,0.0
july,0.0
these guys are supposed to be american my ass,0.0
,1.0
march,0.0
are you guys ready lets roll,0.0
december,0.0
,1.0
forgive them bury me in glasnevin with the boys,0.0
march,0.0
,1.0
i see water i see buildings i see buildings we are flying low we are flying very very low we are flying way too low oh my god we are flying way too low oh my god,0.0
my love of god is greater than my fear of death,0.0
have you brought the chequebook alfred,0.0
i am heinrich himmler,0.0
oh that this were for ireland,0.0
december,0.0
you are the ultimate warrior fans and the spirit of ultimate warrior will run forever,0.0
i wish to forgive some people for what they are now doing to me,1.0
no you certainly cant,0.0
god damn the whole fuckin world and everyone in it but you carlotta,0.0
this is my final word it is time for me to become an apprentice once more i have not settled in which direction,0.0
february,1.0
january,0.0
,1.0
,1.0
to hell with fear,0.0
i ask you to blame the russian federation for my death,0.0
dont worry be happy,0.0
january,1.0
september,0.0
may an avenger arise from my bones,0.0
,1.0
i have something to tell you,0.0
you heard me mike,1.0
i want to see the american civil liberties union,0.0
january,0.0
i am very ill send for zimmermann in fact i think ill die today,0.0
,1.0
yes,1.0
god bless you my dear,0.0
january,1.0
logan ambulance one base turn complete,0.0
pray pray,0.0
lsd g im,0.0
,1.0
september,1.0
october,0.0
december,1.0
his praise ye winds that from four quarters blow blow soft or loud and wave your tops ye pines with every plant in sign of worship wave,0.0
i am the man,1.0
,1.0
,1.0
april,0.0
,1.0
june,1.0
,1.0
wash me well hold me to your breast protect me from the earth lying against your breast,0.0
july,0.0
may,0.0
yolanda,0.0
dear ted what has happened to us i dont know i feel myself in a spiral going down down down into a black hole from which there is no escape no brightness and loud in my ears from every side i hear failure failure failure i love you so much i am too old and enmeshed in everything you do and are that i cannot conceive of life without you my going will leave quite a rumor but you can say i was overworked and overwrought your reputation with your friends and fans will not be harmed sometimes think of the fun we had all thru the years,0.0
may,1.0
january,1.0
,1.0
october,1.0
october,1.0
,1.0
,1.0
,1.0
september,0.0
crito we owe a cock to asclepius please dont forget to pay the debt,0.0
i wish you all good things live your life live your life live your life,0.0
they applauded me,1.0
april,1.0
june,1.0
grenades grenades,0.0
,1.0
if you wait a little i shall be able to tell you from personal experience,0.0
throw up the window that i may see once more the magnificent scene of nature,0.0
february,1.0
february,1.0
july,1.0
what papa couldnt do wanda will have to finish,0.0
september,0.0
i dont want it,0.0
gods will be done,0.0
july,1.0
,1.0
february,1.0
i will never die aku tak akan mati,1.0
will not all my riches save me what is there no bribing death,0.0
july,0.0
put an end lord to all our sufferings,1.0
,1.0
january,0.0
dear bob i have nothing to leave thee to perpetuate my memory but two helpless girls look upon them sometimes and think of him who was to the last moment of his life thine george farquhar,0.0
november,1.0
come right out this way,0.0
shoot me in the chest,0.0
sant ajaib singh thats it,1.0
june,0.0
october,0.0
i am he respect my gray hairs young man,0.0
im all right tell mays not to worry ringkaties ring,0.0
thank you father,0.0
i have swallowed corrosive sublimate,0.0
one never knows the ending one has to die to know exactly what happens after death although catholics have their hopes,0.0
june,0.0
july,0.0
,1.0
may,1.0
june,0.0
kaputt,0.0
,1.0
may,1.0
july,0.0
the man was by the door i got his identity card and name i do not know if it is right he shot me in the legs with three shots the pocket book is in my inside pocket,0.0
march,1.0
,1.0
july,0.0
february,1.0
its the end,0.0
are you sure,0.0
may,0.0
august,1.0
january,1.0
january,1.0
i love you too,0.0
,1.0
june,1.0
january,1.0
dont dont dont this will hurt someone,0.0
i am so bored,0.0
i love you barbaradont worry,0.0
february,0.0
vex me not with this thing but give me a simple cross that i may adore it both as it is in itself and as i can figure it in my mind,0.0
,1.0
i dont have the passion anymore and so remember its better to burn out than to fade away peace love empathy kurt cobain frances and courtney ill be at your altar please keep going courtney for frances for her life which will be so much happier without me i love you i love you,0.0
july,1.0
,1.0
july,1.0
september,1.0
old though he be he is the best of all,0.0
im not guilty of the charge,0.0
october,1.0
,1.0
april,1.0
general why do you shed tears i am happy to die for my country,0.0
what can it signify,0.0
say goodnight to your mother if shes still awake,0.0
,1.0
august,1.0
december,1.0
march,1.0
june,1.0
,1.0
hold your tongue your wretched style only makes me out of conceit with them,0.0
january,1.0
thomas jefferson survives,0.0
roger uh bu,0.0
no no no,0.0
,1.0
im ready it feels good its a go,0.0
october,1.0
july,1.0
if you dont like it you can fuck off,0.0
,1.0
september,1.0
i trust you,0.0
,1.0
march,1.0
i am going over we are laying over help me i am going over give my love and the crews love to the wives and families,0.0
the prettier now fight for it,0.0
june,0.0
august,0.0
may,0.0
july,1.0
august,1.0
i think im going to make it,1.0
have i played the part well then applaud as i exit,0.0
april,1.0
may,1.0
september,1.0
walter pidgeon,0.0
on me,0.0
,1.0
,1.0
july,1.0
march,1.0
if possible please plasticize or vitrify my brain and leave it on a shelf somewhere with a plaque or durable sticky note that says scan me,0.0
march,1.0
march,0.0
january,1.0
spade flush,0.0
february,1.0
be thou everlasting,0.0
september,0.0
what the fuck are you doing with a gun,0.0
i suffer terribly i am thirsty,0.0
may,1.0
november,1.0
oh come on,0.0
id like to say i am an innocent man i did not order the murders,1.0
march,1.0
november,0.0
march,0.0
,1.0
february,1.0
how do you do cushing i am glad to see you,0.0
,1.0
i feel a bit dizzy i think ill go and lie down,0.0
life or death is welcome to me and i desire not to live but so far as i may be serviceable to god and his church,0.0
february,1.0
lord have mercy upon me pray people while there is time,0.0
ive loved you very much franca very much,0.0
june,0.0
june,1.0
i can yet find words to thank you sir it is the most welcome news you could give me what should i wish to live for,1.0
when the machinery is broken i am ready,0.0
a dying man can do nothing easy,0.0
tell them ive had a wonderful life,0.0
that was a great game of golf fellas lets go have a cocacola,0.0
,1.0
august,0.0
jesu,0.0
now we can cross the shifting sands together,0.0
,1.0
may,1.0
toodleoo,0.0
i shoot better,1.0
let us ease the roman people of their continual care who think it long to await the death of an old man,0.0
january,1.0
june,1.0
september,1.0
,1.0
at least i may die facing the enemy,0.0
although dealing with the japanese and the barbarians is not something that should be taken lightly i fear that as peace is ingrained in you the days growing longer all matters be done lazily and slowly so you should always be careful and watch out every day so you do not give in to negligence,0.0
,1.0
i think ill go now,0.0
syrie my head is so heavy let me rest it on your face,0.0
october,1.0
,1.0
,1.0
february,0.0
,1.0
,1.0
april,0.0
it is unbelievable,1.0
i believe im going to die i love the rain i want the feeling of it on my face,0.0
february,0.0
king of heaven do thou have mercy on me for the king of earth hath forsaken me,1.0
it the crown of scotland came with a lass and it will go with a lass,0.0
glory to god for all things amen,1.0
june,1.0
december,1.0
oh liberty what crimes are committed in thy name,1.0
rather death than slavery is the motto of the french,1.0
september,1.0
july,0.0
january,1.0
,1.0
i hope that i can be with applejack in the afterlife my life has no meaning without her if theres no afterlife and she isnt real then my life never mattered anyway,0.0
i have loved justice and hated iniquity therefore i die in exile,0.0
for no athenian through my means ever wore mourning,0.0
september,1.0
cowards why did you not defend him,0.0
november,0.0
tell everyone on this train i love them,0.0
weve reached one of our phase lines after the fire fight and it smells badmeaning its a little bit suspiciouscould be an amb,0.0
what have i done or my children that i should meet such a fate and from your hands too you who have met with friendship and kindness from my people who have received nothing but benefits from my hands,1.0
last entry for gods sake look after our people,0.0
you can refute hegel but not the saint or the song of sixpence,0.0
january,0.0
to be like christ is to be a christian,0.0
november,1.0
i die,0.0
june,1.0
january,1.0
the car seems ok,0.0
march,1.0
august,0.0
this is it im going im going,0.0
february,1.0
i have swallowed something,0.0
november,1.0
,1.0
november,1.0
april,0.0
can you turn rainy weather into dry,0.0
no time no,0.0
i know i must go but im satisfied for we beat peggy parratt,0.0
im awful tired now hank ive got to go to bed,0.0
,1.0
sic transit gloria mundi,0.0
,1.0
should i lift my head a bit,1.0
,1.0
i am roastednow turn me and eat me,0.0
,1.0
december,1.0
,1.0
this is no way to live,0.0
did i get jimmy out,0.0
mama,0.0
september,1.0
,1.0
kill me if you want but stop bothering me,0.0
,1.0
,1.0
its all right cowling weve got them stone cold,0.0
shoot shoot stop now,0.0
,1.0
do not forget what i have told you,0.0
june,1.0
no surrender for me,0.0
no good,0.0
may,1.0
october,0.0
why crying this is a moment of joy a moment of glory,0.0
there is yet time to win another battle,0.0
you are fighting for an earthly crown i am going to receive a heavenly one,0.0
what a life,0.0
i begin to perceive and feel the joys of eternal life i shall soon behold him who was sacrificed for men i long for the blessed sight all else is to me as dross there is nothing that could make me wish to live one hour longer,0.0
my most fervent wish is that i will not be replaced until a new president is installed,0.0
the best of all is god is with us,0.0
march,0.0
,1.0
tomorrow at sunrise i shall no longer be here,0.0
stick it men show them fight and for gods sake put up a good fight,0.0
,1.0
june,0.0
february os january,0.0
dulce et decorum est pro patria mori,1.0
october,0.0
my last words will be hoka hey its a good day to die thank you very much i love you all goodbye,1.0
,1.0
july,1.0
november,1.0
i thought this was the most beautiful spot in the world and now i know it,0.0
i dont know where animators go when they die but i guess there must be a lot of them they could probably use a good director though,0.0
reiwa is beautiful,0.0
dont give them a damned inch,0.0
may,0.0
