quote,is_criminal
farewell mother,1.0
the polunsky dungeon should be compared with the death row community as existing not living why do i say this the death row is full of isolated hearts and suppressed minds we are filled with love looking for affection and a way to understand i am a death row resident of the polunsky dungeon why does my heart ache we want pleasure love and satisfaction it the walls of darkness crushed in on me life without meaning is life without purpose but the solace within the polunsky dungeon the unforgiveness within society the church pastors and christians it is terrifying does anyone care or who i am can you feel me people the polunsky dungeon is what i call the pit of hopelessness the terrifying thing is the us is the only place country that is the only civilized country that is free that says it will stop murder and enable justice i ask each of you to lift up your voices to demand an end to the death penalty if we live we live to the lord if we die we die to the lord christ rose again in jesus name bye aunt helen luise joanna and to all the rest of yall you may proceed warden began singing,1.0
ella ella everything is utterly different,0.0
to my friends and family it was a nice journey to the family of the police officer i hope this finds you peace and be well and stay safe enjoy lifes moments because we never get them back,1.0
thy will be done,0.0
im ready to go for this thing we can win this thing,0.0
i have been a most unconscionable time dying but i beg you to excuse it,0.0
pull now pull thats it,0.0
oh my homeland,0.0
there is another and a better world,0.0
lets have a really good red wine tonight,0.0
emerg,0.0
dont worry relax,0.0
villaine,0.0
i am an innocent man you are murdering me this day i do still love you all in christ god bless you all,1.0
capital punishment them without the capital get the punishment,1.0
jesu maria,0.0
this inmate declined to make a last statement,1.0
remember its the first years that count and ive got to go i love you,0.0
i love you,0.0
peace be upon you,0.0
i have a right to choose the way i die,1.0
this inmate declined to make a last statement,1.0
mama isabel told me to tell you hello holy holy holy lord god almighty early in the morning our song shall rise to thee holy holy holy merciful and mighty god in three persons blessed trinity holy holy holy merciful and mighty all thy works shall praise thy name in earth and sky and sea holy holy holy merciful and mighty god in three persons blessed trinity oh our father who art in heaven holy holy holy be thy name thy kingdom come thy will be done on earth as it is in heaven give us this day our daily bread and forgive us our sin as we forgive our debtors lead us not into temptation but deliver us from evil for thine is the kingdom and the power and the glory forever and ever now father into thy hands i commit my spirit amen,1.0
must i leave it unfinished,0.0
show my head to the people it is worth seeing,1.0
what is about to transpire in a few moments is wrong however we as human beings do make mistakes and errors this execution is one of those wrongs yet doesnt mean our whole system of justice is wrong therefore i would forgive all who have taken part in any way in my death also to anyone i have offended in any way during my years i pray and ask your forgiveness just as i forgive anyone who offended me in any way and i pray and ask gods forgiveness for all of us respectively as human beings to my loved ones i extend my undying love to those close to me know in your hearts i love you one and all god bless you all and may gods best blessings be always yours ronald c obryan ps during my time here i have been treated well by all tdc personnel,1.0
i am coming katie,1.0
save yourselves ill carry on,0.0
thats enough for today mr heise,0.0
o lord into thy hands i commend my spirit,1.0
you urge me in vain i am not the man to provide christian flesh for pagan teeth to devour and it would be so acting if i delivered unto you that which the poor have laid by for their subsistence,0.0
i still live,0.0
i am innocent i was arrested for grand larceny and for assault on a previous occasion but i was found innocent of those charges i went into the army during the world war when i was only this is the reward,1.0
you need not be anxious concerning tonight it will be very peaceful and quiet with me,0.0
bad,0.0
i remember that little fellow who said i love god nothing that loves him shall perish no they shall not die i shall meet them soon in heaven amen,0.0
im doing all right im doing all right uh,0.0
since i have already said all i need to say to all my loved ones im not going to say anything to yall at this time yall know i love you and yall know where were at i will see yall when you get there so this is my statement to all of the racist white folks in america that hate black folks and to all of the black folks in america that hate themselves in the infamous words of my famous legendary brother nat turner yall kiss my black ass lets do it,1.0
can yall hear me tell my family that i love yall joe tim everybody keep your head up i love you,1.0
