name,title,quote,date,context
Philip Danforth Armour,"American industrialist, founder of Armour and Company",I am not afraid to die.,6 January 1901,
Victoria,queen regnant of the United Kingdom,Bertie.,22 January 1901,"calling to her eldest son and heir, Albert, Prince of Wales"
Benjamin Harrison,president of the United States,"Are the doctors here? Doctor, my lungs...",13 March 1901,dying of pneumonia
Tom Ketchum,American outlaw and cowboy,Goodbye. Please dig my grave very deep. All right; hurry up.,26 April 1901,executed by hanging for attempted train robbery
Maltbie Davenport Babcock,American clergyman and writer,I have swallowed corrosive sublimate.,18 May 1901,"to hospital superintendent and nurse, explaining his method of suicide while suffering from brucellosis"
William McKinley,president of the United States,"Goodbye, all, goodbye. It is God's way. His will be done.",14 September 1901,dying after being shot on 6 September
Abdur Rahman Khan,Emir of Afghanistan,"My last words to you, my son and successor, are: Never trust the Russians.",1 October 1901,to Habibullah Khan
William Thomas Maxwell,American tracker and deputized sheriff,Come right out this way.,8 October 1901,telling the Smith Gang to surrender prior to the Battleground Gunfight
Carlos Tafolla,Arizona Ranger,"Give this to my wife. It, and the month's wages coming to me, will be all she will ever have.",8 October 1901,handing a silver dollar to posse member Henry Barrett after being mortally wounded in Battleground Gunfight
Leon Czolgosz,assassin of U.S. President William McKinley,I killed the President because he was the enemy of the good people—the good working people. I am not sorry for my crime. I am sorry I could not see my father.,29 October 1901,prior to execution by electrocution
Edgar Edwards,convicted murderer,I've been looking forward to this.,1902,on the way to the scaffold
Breaker Morant,Anglo-Australian military officer and war criminal,"Shoot straight, you bastards. Don't make a mess of it!",27 February 1902,to his firing squad
"Anxious important work to do and three commissions of enquiry to attend to. We may not have done as well as possible in the past but we will necessarily be hampered to do well in the imminent future. I feel that my brain is suffering and I am in great fear of what effect all this worry will have upon me. I have lost control of my thoughts. The Coolgardie scheme is all right and I could finish it if I got a chance and protection from misrepresentation but there's no hope for that now and its better that it should be given to some entirely new man to do who will be untrammelled by prior responsibility. 10/3/02 Put the wing walls to Helena Weir at once"" — C. Y. O'Connor",engineer-in-chief of Western Australia,The position has become impossible.,10 March 1902,purported suicide note
John Peter Altgeld,20th Governor of Illinois,"How do you do, Cushing? I am glad to see you.",12 March 1902,greeting a visitor
Cecil Rhodes,British businessman and politician,"So little done, so much to do.",26 March 1902,
Samuel Butler,English novelist,"Have you brought the chequebook, Alfred?",18 June 1902,
Émile Zola,"French novelist, playwright and journalist","I feel sick. The dog is sick, too. We are both ill. It must be something we have eaten.",29 September 1902,dying of carbon monoxide poisoning from an improperly ventilated chimney
Abram Hewitt,United States Congressman and Mayor of New York City,And now I am officially dead.,18 January 1903,removing his oxygen mask
Andrew Haswell Green,"American lawyer, city planner and civic leader","I don't know you, I tell you, and you must go away from here.",13 November 1903,"to his murderer, Cornelius Williams"
"(""Mně se nějak točí hlava","půjdu si raději lehnout."") — Antonín Dvořák, Czech composer","I feel a bit dizzy, I think I'll go and lie down.",1 May 1904,
"(""Давно я не пил шампанского..."") — Anton Chekhov",Russian author and playwright,It's a long time since I drank champagne.,15 July [O.S. 2 July] 1904,"to his wife, Olga"
Lew Wallace,"American lawyer, politician, Union general and author",Thy will be done.,15 February 1905,
Jay Cooke,American financier,That was the right prayer.,16 February 1905,having overheard a prayer for the dead
Maurice Barrymore,British stage actor,Our trade falls heavily upon these feeble folk.,25 March 1905,quoting his play Nadjezda
