name,title,quote,date,context
Ennius,writer and poet of the Roman Republic,"Let no one weep for me, or celebrate my funeral with mourning; for I still live, as I pass to and fro through the mouths of men.",c. 169 BC,; lines dictated to be engraved on his memorial. Only fragments of his works now survive
Sejong the Great,king of the Joseon Dynasty,"Although dealing with the Japanese and the barbarians is not something that should be taken lightly, I fear that as peace is ingrained in you, the days growing longer, all matters be done lazily and slowly, so you should always be careful and watch out every day, so you do not give in to negligence.",30 March 1450,"Korea would later be invaded and pillaged by the Japanese, and later, subjugated by the Manchus, who the Koreans considered 'barbarians'"
Field Marshal Kurt Christoph Graf von Schwerin (6 May 1757),,Let all brave Prussians follow me!,6 May 1757,"at the Battle of Prague, immediately before being struck by a cannonball"
Gustav III,King of Sweden,"I feel sleepy, and a moment of rest would do me good.",29 March 1792,13 days after being shot in the back at a masquerade
John Adams,Founding Father and second president of the United States,Thomas Jefferson survives.,4 July 1826,unaware that Jefferson had died earlier that same day
General John Sedgwick (9 May 1864) at the Battle of Spotsylvania Court House shortly before being killed by enemy fire.,,"They couldn't hit an elephant at this distance. [...] All right, my man; go to your place.",9 May 1864,at the Battle of Spotsylvania Court House shortly before being killed by enemy fire
Captain Buckey O'Neill (1 July 1898),,"Sergeant, the Spanish bullet isn't made that will kill me.",1 July 1898,"one of Theodore Roosevelt's Rough Riders, just before being shot in the mouth prior to charge up Kettle Hill"
Richard A. Loeb (28 January 1936),,I think I'm going to make it.,28 January 1936,after being slashed 56 times with a razor in a prison fight
Johnny Ace (25 December 1954),,I'll show you that it won't shoot.,25 December 1954,"American musician, playing with a .32 caliber revolver"
John F. Kennedy,president of the United States,"No, you certainly can't.",22 November 1963,"replying to co-passenger Nellie Connally saying, ""You certainly can't say Dallas doesn't love you, Mr. President"" while travelling through Dallas in a motorcade, shortly before he was fatally shot"
Harold Holt,Prime Minister of Australia,I know this beach like the back of my hand.,17 December 1967,"; he would subsequently disappear while swimming at Cheviot Beach, Victoria"
Terry Kath (23 January 1978),,What do you think I'm gonna do? Blow my brains out?,23 January 1978,"of the band Chicago, just before putting a supposedly unloaded semi-automatic 9mm pistol to his temple and pulling the trigger"
Vic Morrow,American actor,I've got to be crazy to do this shot. I should've asked for a double.,23 July 1982,prior to being killed along with two child actors during the filming of Twilight Zone: The Movie
Pete Maravich,American basketball player,I feel great.,5 January 1988,before dying of an undiagnosed heart defect during a pickup game
Brandon Vedas (12 January 2003),,I told u I was hardcore [...] u are so fucking stupid,12 January 2003,American computer enthusiast talking on IRC during a fatal drug overdose
William Donaldson,British satirist and playboy,"You're a lifesaver, Andy.",22 June 2005,"to the caretaker of his building, who had collected pills for him on which he would later overdose"
Hasan Bitmez,Turkish MP,"Even if you escape the torment of history, you will not be able to escape the wrath of Allah.",12 December 2023,after calling on the wrath of God on the State of Israel in the Grand National Assembly of Turkey before collapsing due to a heart attack. He would die two days later
Charlie Kirk,"American conservative political activist and author, founder and CEO of Turning Point USA",Counting or not counting gang violence?,10 September 2025,"in response to being asked ""Do you know how many mass shooters there have been in America in the last 10 years?"" while hosting an audience at Utah Valley University, immediately before being assassinated"
